Wall time,Step,Value
1655082563.5592902,1000,-5363.43896484375
1655082569.5148854,2000,-11381.154296875
1655082574.7617114,3000,-17474.009765625
1655082581.2738364,4000,-5159.8525390625
1655082587.3427696,5000,-3416.745361328125
1655082594.3234384,6000,-9418.22265625
1655082599.8913853,7000,-5684.54345703125
1655082606.6145701,8000,-5920.39306640625
1655082612.7174141,9000,-14829.9697265625
1655082617.7743425,10000,-4346.54541015625
1655082623.3423095,11000,-7323.185546875
1655082628.8429987,12000,-8725.0029296875
1655082634.5007021,13000,-4791.63330078125
1655082640.0027556,14000,-8300.4462890625
1655082645.4148548,15000,-8756.3291015625
1655082650.871676,16000,-11274.353515625
1655082656.306865,17000,-8392.5625
1655082661.0409164,18000,-7038.67578125
1655082666.142977,19000,-10518.2353515625
1655082671.6117415,20000,-4349.541015625
1655082681.512661,21000,-4481.49365234375
1655082687.1145606,22000,-2537.119140625
1655082692.4713013,23000,-5179.802734375
1655082697.8501294,24000,-3614.244384765625
1655082703.4182208,25000,-2468.3896484375
1655082709.1311932,26000,-2121.4228515625
1655082715.3772793,27000,-2335.743896484375
1655082721.401214,28000,-3724.30517578125
1655082727.4683976,29000,-2573.1796875
1655082733.4812267,30000,-2907.065185546875
1655082739.3824377,31000,-4046.151611328125
1655082745.5281518,32000,-2844.619873046875
1655082751.7181811,33000,-3145.2548828125
1655082757.6982858,34000,-4115.494140625
1655082764.5878716,35000,-2886.451171875
1655082770.5901387,36000,-2264.6552734375
1655082776.8909795,37000,-1976.4779052734375
1655082783.0482306,38000,-2568.4169921875
1655082789.237741,39000,-3001.160888671875
1655082795.238931,40000,-2998.788330078125
1655082801.4522717,41000,-2242.59375
1655082813.3100386,42000,-1476.595703125
1655082820.2457016,43000,-1216.0386962890625
1655082826.969588,44000,-1233.699951171875
1655082833.7158866,45000,-1237.4337158203125
1655082840.517097,46000,-1229.680908203125
1655082848.5520248,47000,-1302.4056396484375
1655082854.8992772,48000,-1182.11474609375
1655082861.1114857,49000,-1251.138671875
1655082867.4244866,50000,-1182.7110595703125
1655082873.6699128,51000,-1123.4908447265625
1655082880.1929595,52000,-1204.7379150390625
1655082886.372584,53000,-1099.3148193359375
1655082892.8517787,54000,-1270.9022216796875
1655082898.8770113,55000,-1459.5628662109375
1655082904.8229358,56000,-1298.871826171875
1655082910.7792761,57000,-1334.7310791015625
1655082917.0696495,58000,-1206.4918212890625
1655082923.1044803,59000,-1347.42138671875
1655082929.2392561,60000,-1197.4373779296875
1655082935.4627447,61000,-1236.171875
1655082947.1194198,62000,-1223.90478515625
1655082954.434512,63000,-1039.677001953125
1655082961.6459682,64000,-1015.255859375
1655082969.5036542,65000,-1097.6414794921875
1655082976.6053114,66000,-964.1027221679688
1655082983.3073525,67000,-893.73876953125
1655082989.6813505,68000,-1052.1195068359375
1655082996.1383224,69000,-972.9578857421875
1655083002.3619103,70000,-1163.436767578125
1655083008.8481646,71000,-1088.7630615234375
1655083015.617307,72000,-1106.229736328125
1655083022.1962516,73000,-1100.69677734375
1655083028.661059,74000,-1136.427490234375
1655083034.9858098,75000,-1046.8333740234375
1655083041.1102514,76000,-989.974609375
1655083047.2454212,77000,-986.7764892578125
1655083053.1260462,78000,-1214.1163330078125
1655083059.1381164,79000,-1128.014892578125
1655083065.0620751,80000,-1156.083740234375
1655083071.775922,81000,-1021.8346557617188
1655083083.834934,82000,-1148.1995849609375
1655083091.2480779,83000,-798.8128051757812
1655083098.0504932,84000,-896.8976440429688
1655083105.3424869,85000,-832.8858032226562
1655083112.6882052,86000,-852.57861328125
1655083119.7569468,87000,-852.6022338867188
1655083126.8153763,88000,-1019.308837890625
1655083134.06124,89000,-893.2970581054688
1655083141.041537,90000,-848.6907958984375
1655083148.0893211,91000,-1000.3117065429688
1655083154.8044832,92000,-909.3299560546875
1655083161.4411867,93000,-831.24169921875
1655083167.910874,94000,-882.4480590820312
1655083174.3376184,95000,-964.5397338867188
1655083181.4305453,96000,-1101.43994140625
1655083188.8113766,97000,-835.3834228515625
1655083196.1708329,98000,-782.3374633789062
1655083203.3940308,99000,-1105.8226318359375
1655083210.6304274,100000,-905.3683471679688
1655083217.909556,101000,-871.8699951171875
1655083224.9810717,102000,-1168.689697265625
