Wall time,Step,Value
1655342142.892601,1000,-4502.1044921875
1655342146.4739275,2000,-10154.3544921875
1655342150.1429973,3000,-4860.1494140625
1655342153.6980393,4000,-2044.825439453125
1655342157.289266,5000,-1927.0306396484375
1655342160.8139052,6000,-3773.086669921875
1655342164.2369833,7000,-1108.34228515625
1655342167.7963223,8000,-1164.8480224609375
1655342171.4542844,9000,-1244.0511474609375
1655342175.1102996,10000,-1930.90087890625
1655342178.7115538,11000,-2381.68115234375
1655342182.2255073,12000,-2724.5771484375
1655342185.7496166,13000,-2755.85107421875
1655342189.1183696,14000,-2559.487060546875
1655342192.6643844,15000,-2588.825439453125
1655342196.2111907,16000,-1803.4320068359375
1655342199.7462323,17000,-2571.227294921875
1655342203.225754,18000,-1735.7176513671875
1655342206.7933128,19000,-2294.3056640625
1655342210.3962722,20000,-1016.9686889648438
1655342213.8319433,21000,-2913.392333984375
1655342217.4003937,22000,-3347.401123046875
1655342220.9238431,23000,-2633.88916015625
1655342224.4692774,24000,-1975.033935546875
1655342227.9937117,25000,-1950.52685546875
1655342231.5192528,26000,-2561.05908203125
1655342235.0869584,27000,-1300.694091796875
1655342238.6442268,28000,-546.1748046875
1655342242.4022963,29000,-612.9398803710938
1655342246.1475303,30000,-431.39569091796875
1655342250.2608426,31000,-388.1173400878906
1655342254.8969219,32000,-390.0673522949219
1655342259.2332892,33000,-770.7056274414062
1655342263.5792093,34000,-876.3598022460938
1655342268.1147885,35000,-485.2194519042969
1655342272.1599572,36000,-382.0550537109375
1655342276.4634871,37000,-411.65057373046875
1655342280.8425636,38000,-370.72723388671875
1655342285.1113372,39000,-380.8531494140625
1655342289.5462666,40000,-417.5501708984375
1655342294.159284,41000,-501.9794616699219
1655342298.3504438,42000,-432.1980285644531
1655342302.5633588,43000,-438.9730529785156
1655342306.6654143,44000,-435.75653076171875
1655342310.9802501,45000,-371.5469055175781
1655342315.225715,46000,-472.2141418457031
1655342319.3720558,47000,-539.3168334960938
1655342323.8956225,48000,-395.5963439941406
1655342328.2753363,49000,-370.993896484375
1655342332.6339722,50000,-372.3130798339844
1655342336.691705,51000,-399.84368896484375
1655342341.0038419,52000,-374.1005859375
1655342345.6164854,53000,-379.99749755859375
1655342350.1301,54000,-379.6029052734375
1655342354.8647747,55000,-369.801513671875
1655342359.323886,56000,-364.7478942871094
1655342363.7037787,57000,-416.25775146484375
1655342367.749414,58000,-485.17901611328125
1655342371.9845486,59000,-751.7638549804688
1655342375.8306775,60000,-1642.1610107421875
1655342379.4322283,61000,-893.970458984375
1655342383.2571692,62000,-391.282470703125
1655342387.5260682,63000,-366.7220764160156
1655342392.1278455,64000,-365.654296875
1655342396.7310255,65000,-383.2860412597656
1655342401.1881716,66000,-422.51025390625
1655342405.7577865,67000,-364.06390380859375
1655342410.2825065,68000,-373.2666931152344
1655342414.82882,69000,-364.0274353027344
1655342419.530237,70000,-365.41583251953125
1655342424.186858,71000,-367.0052185058594
1655342428.6888351,72000,-367.6236572265625
1655342433.3246062,73000,-369.9486083984375
1655342437.18106,74000,-370.2930603027344
1655342441.8984127,75000,-369.8404846191406
1655342446.6754835,76000,-368.987060546875
1655342451.0676394,77000,-376.9792175292969
1655342455.2962348,78000,-499.0293884277344
1655342459.520054,79000,-770.8159790039062
1655342463.6708837,80000,-765.0692749023438
1655342467.8300736,81000,-463.7520751953125
1655342472.3605182,82000,-491.48931884765625
1655342477.2723417,83000,-372.65899658203125
1655342482.0752628,84000,-366.9673767089844
1655342486.6802473,85000,-363.1112976074219
1655342491.2161,86000,-364.6753234863281
1655342495.8293042,87000,-363.7296447753906
1655342499.8531456,88000,-367.2165832519531
1655342504.1109905,89000,-368.08892822265625
1655342509.148415,90000,-367.331298828125
1655342514.784094,91000,-365.1654968261719
1655342520.7301831,92000,-367.02862548828125
1655342525.5086696,93000,-367.500732421875
1655342530.6358383,94000,-364.6498718261719
1655342535.458414,95000,-363.3690490722656
1655342540.2255995,96000,-368.8302917480469
1655342544.8313851,97000,-369.27960205078125
1655342549.5676475,98000,-368.4971618652344
1655342554.1473885,99000,-367.6354064941406
1655342558.74064,100000,-363.74884033203125
1655342563.5635252,101000,-372.13946533203125
1655342568.665946,102000,-364.4013671875
1655342573.2456045,103000,-362.7471618652344
1655342577.7803283,104000,-365.8052062988281
1655342582.4151816,105000,-369.6422424316406
1655342587.0183222,106000,-368.89459228515625
1655342591.5078936,107000,-368.1343688964844
1655342596.3661828,108000,-367.7534484863281
1655342601.5128064,109000,-369.34490966796875
1655342606.2585452,110000,-368.46551513671875
1655342610.9389687,111000,-366.61358642578125
1655342615.7309556,112000,-366.8260498046875
1655342619.8875976,113000,-369.0606384277344
1655342624.3710177,114000,-371.3758239746094
1655342629.4509459,115000,-366.9053039550781
1655342634.0999312,116000,-367.1133728027344
1655342638.6894944,117000,-367.2658386230469
1655342643.2028139,118000,-368.2127990722656
1655342647.981071,119000,-365.53106689453125
1655342652.4945047,120000,-368.37420654296875
1655342657.3629253,121000,-367.78076171875
1655342662.1200686,122000,-367.6473693847656
1655342666.7904015,123000,-368.781005859375
1655342671.312886,124000,-368.5426025390625
1655342675.91631,125000,-369.8106689453125
1655342680.305824,126000,-367.83544921875
1655342684.9298196,127000,-368.6259460449219
1655342689.9007387,128000,-368.18603515625
1655342694.5576665,129000,-368.04833984375
1655342699.1705966,130000,-369.08404541015625
1655342703.7507381,131000,-368.1891784667969
1655342708.2733119,132000,-366.2535705566406
1655342712.6409955,133000,-368.616943359375
1655342717.607925,134000,-369.1553039550781
1655342722.2552853,135000,-367.6742858886719
1655342726.8017843,136000,-367.4259948730469
1655342731.3367493,137000,-369.0046081542969
1655342735.8611827,138000,-369.3507995605469
