Wall time,Step,Value
1655431693.5756114,6000,-1280.11279296875
1655431754.1441655,19000,-1142.9501953125
1655431781.4774477,25000,-7218.12890625
1655431853.793771,41000,-3159.4208984375
1655431862.9213488,43000,-1866.28564453125
1655431876.448286,46000,-2002.7645263671875
1655431885.5297506,48000,-12806.6865234375
1655431912.4964561,54000,-7450.74609375
1655431925.8903468,57000,-7262.20361328125
1655431994.5623274,72000,-875.287841796875
1655432008.433964,75000,-874.3349609375
1655432031.621414,80000,-912.6380615234375
1655432068.4921582,88000,-892.1394653320312
1655432100.8607445,95000,-877.6527709960938
1655432137.8855436,103000,-881.412109375
1655432151.7467844,106000,-883.2492065429688
1655432156.2494354,107000,-840.0972290039062
1655432189.2396286,114000,-897.5587158203125
1655432249.0521522,127000,-849.3385009765625
1655432309.242795,140000,-851.6605834960938
1655432360.2626286,151000,-855.4578857421875
1655432383.2155657,156000,-835.426513671875
1655432396.9889028,159000,-832.9522705078125
1655432438.705409,168000,-892.7617797851562
1655432443.1511116,169000,-894.9481811523438
1655432489.492117,179000,-929.1068725585938
1655432512.6232479,184000,-943.2305297851562
1655432521.9044666,186000,-903.3128662109375
1655432526.7173388,187000,-880.3828735351562
1655432545.1578114,191000,-949.2111206054688
1655432582.3159428,199000,-911.253173828125
1655432619.3980794,207000,-907.1812744140625
1655432623.8894937,208000,-895.2349853515625
1655432647.3760717,213000,-863.2333374023438
1655432698.185415,224000,-896.1337280273438
1655432725.8744214,230000,-916.7784423828125
1655432748.9510427,235000,-1018.5770874023438
1655432762.6997359,238000,-954.5294189453125
1655432818.0445387,250000,-932.9835205078125
1655432845.7326667,256000,-999.8822021484375
1655432868.9208233,261000,-1295.86767578125
1655432901.0652905,268000,-1208.668701171875
1655432919.3297253,272000,-1855.087158203125
1655432928.4106667,274000,-1847.7738037109375
1655433015.1459033,293000,-872.8063354492188
1655433037.5429823,298000,-1296.830810546875
1655433042.2124305,299000,-1379.3751220703125
1655433064.7226706,304000,-1145.347412109375
1655433086.9313414,309000,-1390.119873046875
1655433096.1127274,311000,-1335.1864013671875
1655433131.6931639,319000,-673.1943969726562
1655433136.3737984,320000,-431.7033386230469
1655433168.1533046,327000,-980.4027709960938
1655433186.193282,331000,-817.4434814453125
1655433226.9111598,340000,-611.8379516601562
1655433263.914075,348000,-590.306884765625
1655433338.0554683,364000,-432.8159484863281
1655433356.6182923,368000,-638.2442016601562
1655433384.5178835,374000,-431.22650146484375
1655433403.269574,378000,-431.2904052734375
1655433412.6288507,380000,-427.5947570800781
1655433610.4412549,422000,-431.9925842285156
1655433615.1321867,423000,-428.3564453125
1655433624.6144297,425000,-447.04754638671875
1655433652.8132415,431000,-432.296875
1655433694.9188476,440000,-431.1900329589844
1655433704.522895,442000,-427.98638916015625
