Wall time,Step,Value
1656553177.502811,19000,-1691.2303466796875
1656553202.4574804,25000,-2043.2315673828125
1656553268.7302172,41000,-1863.9971923828125
1656553277.0776932,43000,-2206.787841796875
1656553289.3395379,46000,-2493.684326171875
1656553334.8687978,57000,-1823.3271484375
1656553397.4635494,72000,-1720.2984619140625
1656553409.6895304,75000,-1202.521240234375
1656553492.9387674,95000,-969.9776611328125
1656553543.0745394,107000,-1294.3095703125
1656553626.5780742,127000,-1106.9801025390625
1656553748.399521,156000,-1049.2518310546875
1656553762.406623,159000,-1195.50927734375
1656553805.62474,168000,-1133.245361328125
1656553882.5872588,184000,-882.1478271484375
1656553892.113441,186000,-953.801025390625
1656554095.8171835,230000,-936.1142578125
1656554117.496462,235000,-1191.41552734375
1656554185.2604122,250000,-1256.2900390625
1656554211.4045322,256000,-1136.626953125
1656554232.248079,261000,-1168.2191162109375
1656554262.3237724,268000,-1329.7032470703125
1656554289.5034537,274000,-1287.1483154296875
1656554439.791955,309000,-1123.9049072265625
1656554448.1292362,311000,-1114.4703369140625
1656554480.95477,319000,-1114.0501708984375
1656554567.6520822,340000,-1002.2925415039062
1656554601.564619,348000,-1211.783203125
1656554686.0553675,368000,-911.6680908203125
1656554913.0810337,422000,-888.9635009765625
1656554917.2282567,423000,-1343.5908203125
1656554988.504481,440000,-1408.3001708984375
1656555001.0001388,443000,-1336.3441162109375
1656555013.6168818,446000,-1283.7144775390625
1656555077.7383308,461000,-1015.3076171875
1656555090.1773605,464000,-1224.1981201171875
1656555094.3675432,465000,-1045.2806396484375
1656555136.987329,475000,-1789.562255859375
1656555216.7802324,494000,-904.3431396484375
1656555305.1544085,515000,-1100.5494384765625
1656555378.9439027,532000,-860.2483520507812
1656555399.8831034,537000,-1061.0572509765625
1656555517.5154734,564000,-1136.7855224609375
1656555562.335168,574000,-1562.3123779296875
1656555589.0217984,580000,-1176.74951171875
1656555620.5572348,587000,-2522.315185546875
1656555625.0033298,588000,-976.8199462890625
1656555772.6461718,621000,-1413.725830078125
1656555781.515822,623000,-842.2843017578125
1656555835.8292572,635000,-1388.990234375
1656555867.066393,642000,-1142.293212890625
1656555871.6125507,643000,-1160.8814697265625
1656555880.449186,645000,-1063.1964111328125
1656555893.8884876,648000,-991.2908325195312
1656555903.291912,650000,-965.8923950195312
1656555954.0265677,662000,-1280.7945556640625
1656555994.8804693,672000,-942.498291015625
1656556171.0420544,715000,-1201.113525390625
1656556203.8682678,723000,-1066.198486328125
1656556236.7616522,731000,-1018.7787475585938
1656556273.4684455,740000,-1093.7349853515625
1656556326.8492854,753000,-1285.68408203125
1656556343.3228674,757000,-858.53564453125
1656556380.0403051,766000,-851.6102905273438
1656556396.4153366,770000,-1034.6734619140625
1656556404.7078025,772000,-827.6714477539062
1656556413.0229044,774000,-1057.96630859375
1656556441.5697243,781000,-1088.6322021484375
1656556461.9682245,786000,-876.458984375
1656556470.0063388,788000,-1732.296875
1656556490.5249572,793000,-928.0944213867188
1656556498.7077067,795000,-1156.17431640625
1656556515.0256715,799000,-897.5881958007812
1656556531.490295,803000,-1134.259033203125
1656556556.0897589,809000,-1027.67626953125
1656556560.0469387,810000,-885.5789794921875
1656556654.0589805,833000,-952.3966674804688
1656556670.3335776,837000,-884.141845703125
1656556805.6618695,870000,-1317.1417236328125
1656556834.442015,877000,-1280.5797119140625
1656556858.9433253,883000,-951.9651489257812
1656556916.1361732,897000,-931.6815795898438
1656556932.6785617,901000,-1532.5601806640625
1656556961.4027338,908000,-1402.1602783203125
1656556969.4498858,910000,-1206.3331298828125
1656557002.0322154,918000,-996.19482421875
1656557059.3377733,932000,-958.327880859375
1656557063.4172773,933000,-896.9215698242188
1656557104.0364249,943000,-3372.3427734375
1656557116.2764316,946000,-1704.760009765625
1656557152.9043112,955000,-936.8829345703125
1656557185.5421863,963000,-1146.4573974609375
1656557222.559031,972000,-1035.295166015625
1656557226.6392965,973000,-976.8499755859375
1656557251.0735455,979000,-1228.2236328125
1656557255.1522207,980000,-1070.295654296875
1656557275.7402925,985000,-1100.86669921875
1656557349.420706,1003000,-1177.9896240234375
1656557361.6043708,1006000,-1212.714111328125
1656557398.2665412,1015000,-1247.123779296875
1656557520.8677616,1045000,-1572.366943359375
1656557573.859591,1058000,-1055.493408203125
1656557598.6822584,1064000,-1014.4871826171875
1656557611.078019,1067000,-968.3993530273438
1656557619.1933122,1069000,-1268.9798583984375
1656557635.5884254,1073000,-1276.6268310546875
1656557660.1141078,1079000,-1019.84228515625
1656557680.6798058,1084000,-872.7227172851562
1656557721.647993,1094000,-1642.879150390625
1656557746.304399,1100000,-1026.281494140625
1656557766.7693741,1105000,-1109.316650390625
1656557807.889477,1115000,-984.0296630859375
1656557979.8379269,1157000,-949.337646484375
1656557996.168204,1161000,-1051.851318359375
1656558000.3700182,1162000,-1203.2418212890625
1656558004.4270484,1163000,-923.6575927734375
1656558078.2948725,1181000,-1061.8482666015625
1656558131.2756526,1194000,-898.9758911132812
1656558184.3227625,1207000,-1560.041748046875
