Wall time,Step,Value
1656405377.792286,1000,-3.716299295425415
1656405391.7067652,2000,-1.001144289970398
1656405416.828833,4000,-1.0294166803359985
1656405428.3867888,5000,-7.439222812652588
1656405440.0029645,6000,-0.8767666816711426
1656405451.7411456,7000,-1.1429166793823242
1656405463.5875428,8000,-3.4985456466674805
1656405475.4239218,9000,-151.78526306152344
1656405487.7595,10000,-312.3915710449219
1656405499.7293143,11000,-34.60363006591797
1656405511.3893218,12000,-1.068333387374878
1656405522.803932,13000,-1.748400092124939
1656405534.651638,14000,-1.085892915725708
1656405546.3342292,15000,-1.0328571796417236
1656405558.0858688,16000,-1.1155208349227905
1656405571.3066812,17000,-1.0031263828277588
1656405585.378611,18000,-1.0010449886322021
1656405599.956177,19000,-1.0005935430526733
1656405614.4396265,20000,-1.0006102323532104
1656405628.8118222,21000,-1.0007425546646118
1656405643.2288954,22000,-1.0008546113967896
1656405657.333536,23000,-1.0009735822677612
1656405671.5277984,24000,-1.0010346174240112
1656405685.2876287,25000,-1.0010781288146973
1656405698.5596037,26000,-1.0010027885437012
1656405725.5010421,28000,-1.001076579093933
1656405765.4849606,31000,-1.0011496543884277
1656405778.7590952,32000,-1.0011179447174072
1656405792.2115636,33000,-1.0011945962905884
1656405805.5656466,34000,-1.0011179447174072
1656405818.8587925,35000,-1.0012019872665405
1656405845.513582,37000,-1.0010714530944824
1656405858.841595,38000,-1.0011982917785645
1656405872.1789687,39000,-1.0010714530944824
1656405885.4390924,40000,-1.0011928081512451
1656405898.7446089,41000,-1.0011674165725708
1656405923.887978,43000,-1.001162052154541
1656405936.392426,44000,-1.001147985458374
1656405948.8744943,45000,-1.001165747642517
1656405961.6404982,46000,-1.0011459589004517
1656405974.301377,47000,-1.0010496377944946
1656405986.9282598,48000,-1.001181960105896
1656406011.9947298,50000,-1.0011143684387207
1656406026.4556754,51000,-1.001041054725647
1656406052.1323931,53000,-1.0009639263153076
1656406065.4468148,54000,-1.0009422302246094
1656406078.864799,55000,-1.001041054725647
1656406092.281578,56000,-1.0009722709655762
1656406105.714405,57000,-1.0010077953338623
1656406119.163621,58000,-1.0009233951568604
1656406146.3298047,60000,-1.0009247064590454
1656406161.82456,61000,-1.001004934310913
1656406175.5624502,62000,-1.0009247064590454
1656406189.3012297,63000,-1.000929355621338
1656406202.7496188,64000,-1.0009353160858154
1656406216.1885183,65000,-1.0009469985961914
1656406229.648468,66000,-1.0009247064590454
1656406243.1044962,67000,-1.0009832382202148
1656406256.643423,68000,-1.000909447669983
1656406270.198329,69000,-1.0009119510650635
1656406284.6503649,70000,-1.0008647441864014
1656406316.0589602,72000,-1.00075101852417
1656406330.619594,73000,-1.0007895231246948
1656406344.6019156,74000,-1.0007938146591187
1656406358.6077907,75000,-1.0007561445236206
1656406372.6114924,76000,-1.0006694793701172
1656406386.7321033,77000,-1.0006351470947266
1656406400.749569,78000,-1.000632882118225
1656406414.742611,79000,-1.0008333921432495
1656406428.6253211,80000,-1.000892162322998
1656406459.161195,82000,-1.001227617263794
1656406472.632255,83000,-1.0015660524368286
1656406497.4968984,85000,-1.0019748210906982
1656406509.835155,86000,-1.0022087097167969
1656406522.049574,87000,-1.0021501779556274
1656406534.265365,88000,-1.0024604797363281
1656406546.5930903,89000,-1.0022249221801758
