Wall time,Step,Value
1658215495.5383942,6000,-3530.957275390625
1658215541.4622653,19000,-5774.228515625
1658215562.5388696,25000,-6182.015625
1658215618.5549514,41000,-2652.091796875
1658215625.492323,43000,-6616.96142578125
1658215635.8751376,46000,-2632.16162109375
1658215663.987956,54000,-11696.4130859375
1658215674.5711977,57000,-4363.55712890625
1658215727.691083,72000,-7441.62646484375
1658215738.1202962,75000,-3068.672119140625
1658215811.053213,95000,-2405.7021484375
1658215840.5567355,103000,-2435.71142578125
1658215851.640367,106000,-1289.38916015625
1658215855.375471,107000,-1619.28369140625
1658215929.1537633,127000,-1482.1435546875
1658215977.0541956,140000,-1623.8988037109375
1658216018.5737984,151000,-2411.17919921875
1658216037.0158155,156000,-2141.436767578125
1658216048.0215204,159000,-1359.8416748046875
1658216081.4695368,168000,-1679.2518310546875
1658216122.1331694,179000,-2093.549072265625
1658216140.5736797,184000,-1146.2386474609375
1658216148.001121,186000,-1208.5126953125
1658216151.7472355,187000,-1187.5625
1658216166.464465,191000,-1091.998779296875
1658216196.0118165,199000,-973.8742065429688
1658216225.693447,207000,-1783.5223388671875
1658216229.4501796,208000,-1346.0479736328125
1658216247.9593594,213000,-913.06591796875
1658216288.5869095,224000,-1934.5770263671875
1658216310.7202194,230000,-979.0427856445312
1658216329.2292662,235000,-1724.19677734375
1658216383.2651625,250000,-1393.5455322265625
1658216404.3983397,256000,-1244.0020751953125
1658216421.7852013,261000,-1476.4525146484375
1658216446.2859263,268000,-1596.4434814453125
1658216460.4591804,272000,-1476.25146484375
1658216467.6294656,274000,-931.6337890625
1658216534.4732673,293000,-1525.8526611328125
1658216551.9925504,298000,-952.8646240234375
1658216572.9919336,304000,-1357.88916015625
1658216590.6238697,309000,-1601.5277099609375
1658216597.6708248,311000,-1242.08203125
1658216625.629786,319000,-1267.9873046875
1658216629.1532614,320000,-1117.9339599609375
1658216667.7502584,331000,-3509.46533203125
1658216699.421146,340000,-953.8637084960938
1658216727.614086,348000,-1050.701416015625
1658216784.0187662,364000,-854.7628173828125
1658216797.9818046,368000,-1049.20947265625
1658216833.309152,378000,-1506.525146484375
1658216987.4862812,422000,-966.2830810546875
1658216991.0210621,423000,-942.7474975585938
1658217050.6071558,440000,-1020.1549682617188
1658217057.6989288,442000,-1168.400634765625
1658217061.2114089,443000,-1909.7979736328125
1658217071.7724426,446000,-971.4876098632812
1658217092.7612665,452000,-927.27978515625
1658217124.3438156,461000,-936.4132080078125
1658217134.8481743,464000,-1738.037841796875
1658217138.3390543,465000,-1042.4571533203125
1658217173.4454157,475000,-1143.7786865234375
1658217233.2533088,492000,-966.2802124023438
1658217240.2564583,494000,-927.4014892578125
1658217307.0791137,513000,-1208.637939453125
1658217314.08251,515000,-1577.105224609375
1658217324.7523212,518000,-1086.3660888671875
1658217352.7877486,526000,-875.2498779296875
1658217373.8203492,532000,-2067.48046875
1658217380.7349458,534000,-917.89697265625
1658217391.430252,537000,-1544.7412109375
1658217412.4066463,543000,-961.2772216796875
1658217429.8812134,548000,-1364.1923828125
1658217465.165503,558000,-940.1592407226562
1658217486.2873397,564000,-699.4114379882812
1658217507.3098423,570000,-939.38330078125
1658217521.494164,574000,-1384.4456787109375
1658217542.5381706,580000,-903.1484985351562
1658217549.6412988,582000,-831.9949951171875
1658217560.0463762,585000,-1487.4569091796875
1658217567.1171525,587000,-956.3570556640625
1658217570.7187943,588000,-875.469970703125
1658217588.3057003,593000,-747.1680908203125
1658217591.8072872,594000,-1311.32421875
1658217623.4013782,603000,-1735.86376953125
1658217686.9870267,621000,-904.885498046875
1658217694.1135821,623000,-894.4856567382812
1658217736.356645,635000,-1191.3179931640625
1658217760.945798,642000,-934.967041015625
1658217764.4815555,643000,-1022.8715209960938
1658217771.5634525,645000,-922.18212890625
1658217782.2119696,648000,-1201.78955078125
1658217789.138484,650000,-881.5169067382812
1658217831.2473924,662000,-1553.16064453125
1658217841.6763864,665000,-747.7183837890625
1658217855.8713746,669000,-838.763916015625
1658217866.3881567,672000,-1145.086669921875
1658217877.1261828,675000,-986.702392578125
1658217891.2123005,679000,-1152.8795166015625
1658217894.7807019,680000,-692.7882080078125
1658217908.8987322,684000,-815.83447265625
1658217926.4523008,689000,-1255.0947265625
1658218017.831098,715000,-1168.3121337890625
1658218031.949724,719000,-951.014892578125
1658218045.945475,723000,-933.9529418945312
1658218049.4682536,724000,-930.0869140625
1658218074.5250714,731000,-3525.043701171875
1658218106.3162053,740000,-1216.3424072265625
1658218120.301281,744000,-876.4030151367188
1658218134.5080907,748000,-653.8856201171875
1658218152.006521,753000,-3190.764404296875
1658218165.9462016,757000,-1475.7611083984375
1658218197.4954832,766000,-1087.413330078125
1658218211.6132982,770000,-993.1422119140625
1658218214.982753,771000,-1222.227294921875
1658218218.5270867,772000,-868.0203857421875
1658218225.6422877,774000,-938.169677734375
1658218229.1661613,775000,-837.9661865234375
1658218250.1094801,781000,-691.4300537109375
1658218267.5400887,786000,-1703.098388671875
1658218274.6111221,788000,-1094.2633056640625
1658218292.1752033,793000,-1071.7730712890625
1658218295.7774599,794000,-1138.594970703125
1658218299.3018126,795000,-826.1234130859375
1658218313.4418135,799000,-1344.76513671875
1658218327.492779,803000,-791.3900146484375
1658218345.10314,808000,-954.5921630859375
1658218348.5597434,809000,-1104.5904541015625
1658218352.095291,810000,-874.944091796875
1658218433.2131689,833000,-997.68212890625
1658218447.2867928,837000,-723.9804077148438
1658218454.3346107,839000,-1369.8988037109375
1658218471.8657277,844000,-1088.5047607421875
1658218563.3778188,870000,-1069.139892578125
1658218580.8425858,875000,-1583.8370361328125
1658218587.9235253,877000,-767.6004028320312
1658218608.7675347,883000,-1169.275634765625
1658218636.8363264,891000,-1091.8367919921875
1658218657.8585193,897000,-1615.0185546875
1658218671.8661487,901000,-2084.768310546875
1658218696.3673239,908000,-1220.229248046875
1658218703.3697057,910000,-1160.7918701171875
1658218724.4589875,916000,-2374.0986328125
1658218731.4836895,918000,-978.354248046875
1658218780.4302998,932000,-1223.4749755859375
1658218783.9544144,933000,-1400.1639404296875
1658218794.4933782,936000,-2688.111572265625
1658218818.8720868,943000,-1391.80078125
1658218829.533809,946000,-968.5618286132812
1658218861.1052907,955000,-1015.9649047851562
1658218875.0004747,959000,-855.077880859375
1658218885.6060286,962000,-2602.1533203125
1658218889.119073,963000,-1904.3822021484375
1658218920.6344779,972000,-1220.976806640625
1658218924.1151934,973000,-1698.2254638671875
1658218938.143819,977000,-1919.8616943359375
1658218945.11433,979000,-2585.029541015625
1658218948.548787,980000,-2409.96435546875
1658218966.1795259,985000,-849.0159912109375
1658219008.34416,997000,-2124.93798828125
1658219022.3407595,1001000,-3542.087890625
1658219029.3652606,1003000,-1065.6763916015625
1658219039.9054406,1006000,-1862.215087890625
1658219071.4200864,1015000,-1400.2440185546875
1658219081.836313,1018000,-1791.10400390625
1658219109.7954102,1026000,-1640.818359375
1658219152.1596985,1038000,-1662.8544921875
1658219176.6051927,1045000,-1106.6767578125
1658219222.0842934,1058000,-1456.4859619140625
1658219243.2948074,1064000,-1263.3916015625
1658219253.711489,1067000,-927.3943481445312
1658219260.6922975,1069000,-1536.3214111328125
1658219274.6438441,1073000,-1466.8304443359375
1658219288.8169916,1077000,-876.0408935546875
1658219295.8103278,1079000,-1398.0125732421875
1658219313.2480855,1084000,-1258.7415771484375
1658219316.849725,1085000,-1764.6953125
1658219348.386212,1094000,-1297.643310546875
1658219369.4735446,1100000,-975.0360107421875
1658219383.4366841,1104000,-3087.155517578125
1658219387.0060513,1105000,-2974.9921875
1658219422.200396,1115000,-3400.6396484375
1658219439.709177,1120000,-595.1888427734375
1658219488.9554725,1134000,-1220.961669921875
1658219566.1493256,1156000,-1876.892333984375
1658219569.6741354,1157000,-767.5963745117188
1658219583.7136683,1161000,-923.9724731445312
