Wall time,Step,Value
1661481664.3439593,6000,-0.800000011920929
1661481672.4686413,7000,-1.0
1661481706.676344,11000,-0.5384615659713745
1661481714.5835478,12000,-0.8125
1661481740.7739863,15000,-0.5199999809265137
1661481749.6667354,16000,-1.0
1661481776.4436243,19000,-0.5
1661481784.886826,20000,-1.0
1661481792.5565822,21000,-0.699999988079071
1661481828.0535579,25000,-0.3684210479259491
1661481926.338308,34000,-1.0
1661481959.1345155,37000,-0.5
1661481999.349971,41000,-0.6000000238418579
1661482022.1664932,43000,-0.5
1661482046.9890432,45000,-0.5
1661482058.830765,46000,-0.5
1661482082.0020356,48000,0.0
1661482105.8310642,50000,-0.3333333432674408
1661482119.3101516,51000,-0.25
1661482153.6958735,54000,-0.6000000238418579
1661482163.3405461,55000,0.0
1661482173.3275979,56000,-0.6000000238418579
1661482183.5935657,57000,-0.3333333432674408
1661482193.3090172,58000,0.0
1661482243.3865097,62000,0.0
1661482269.9065247,64000,-0.3333333432674408
1661482295.4664147,66000,0.0
1661482308.3978026,67000,0.0
1661482320.1116796,68000,-0.5
1661482331.9913485,69000,0.0
1661482368.797759,72000,0.0
1661482381.10489,73000,0.0
1661482392.277766,74000,0.0
1661482403.4766688,75000,-0.5
1661482465.110834,80000,-1.0
1661482531.7062716,85000,0.0
1661482567.9039516,88000,-0.5
1661482579.3112123,89000,0.0
1661482658.1612415,95000,-0.800000011920929
1661482762.1990106,103000,0.0
1661482798.1581683,106000,-0.6000000238418579
1661482811.157124,107000,-0.5
1661482904.5805647,114000,-0.75
1661482944.684754,117000,-0.6000000238418579
1661482970.0922391,119000,-0.5
1661483048.136852,125000,-0.5
1661483060.816923,126000,-0.5
1661483073.5736158,127000,-0.7142857313156128
1661483113.1836245,130000,-0.5
1661483127.529256,131000,-0.3333333432674408
1661483219.8804078,138000,-0.3333333432674408
1661483246.1090956,140000,-0.3333333432674408
1661483273.162275,142000,-0.3333333432674408
1661483286.4006813,143000,0.0
1661483298.6200204,144000,-0.5
1661483387.6530132,151000,0.0
1661483451.3213518,156000,0.0
1661483475.9675632,158000,-0.3333333432674408
1661483488.494329,159000,-0.4000000059604645
1661483501.2360792,160000,0.0
1661483540.501612,163000,-0.3333333432674408
1661483580.2137272,166000,-0.25
1661483605.0452855,168000,-0.3333333432674408
1661483617.0804873,169000,-0.5
1661483655.7651188,172000,-0.4000000059604645
1661483717.742582,177000,0.0
1661483729.9655087,178000,-0.75
1661483742.331897,179000,0.0
1661483768.3377898,181000,-0.4000000059604645
1661483808.6685164,184000,2.799999952316284
1661483834.8415809,186000,0.5833333134651184
1661483847.1927776,187000,0.0
1661483871.741728,189000,-0.5
1661483897.9285831,191000,-0.6470588445663452
1661483910.9867804,192000,-0.5
1661483998.1768785,199000,-0.8333333134651184
1661484103.3626485,207000,-0.9285714030265808
1661484115.813478,208000,0.1818181872367859
1661484128.1218905,209000,-0.7777777910232544
1661484180.5810993,213000,0.0
1661484255.3866084,219000,0.8571428656578064
1661484307.1608212,223000,-0.7142857313156128
1661484321.5601385,224000,-1.0
1661484348.1063468,226000,-0.3333333432674408
1661484374.592258,228000,-0.6000000238418579
1661484398.4863586,230000,-0.5
1661484438.6171317,233000,-0.75
1661484451.9450185,234000,0.6000000238418579
1661484464.912845,235000,-0.3333333432674408
1661484501.9501622,238000,-0.5
1661484629.8015096,248000,-0.800000011920929
1661484654.9063547,250000,-0.6000000238418579
1661484733.7549863,256000,0.6000000238418579
1661484771.503698,259000,-0.875
1661484784.1110454,260000,-1.0
1661484798.1426754,261000,-0.6000000238418579
1661484811.559236,262000,-0.9090909361839294
1661484838.4265764,264000,-0.800000011920929
1661484889.4619224,268000,-1.0
1661484916.755251,270000,-0.9230769276618958
1661484944.3371992,272000,-0.3333333432674408
1661484971.7209089,274000,-0.9375
1661485037.0723727,279000,-0.5
1661485064.259263,281000,-1.0
1661485118.2041755,285000,-0.9375
1661485212.885231,292000,-0.800000011920929
1661485226.504284,293000,-0.75
1661485293.6521032,298000,-0.5
1661485306.621365,299000,0.0
1661485319.2689,300000,0.0
1661485346.8828282,302000,-0.6000000238418579
1661485360.432163,303000,0.800000011920929
1661485374.2702603,304000,-0.8571428656578064
1661485427.8069966,308000,0.0
1661485441.401284,309000,-0.6000000238418579
1661485469.090556,311000,0.0
1661485513.4061358,314000,-0.5
1661485567.1852288,318000,0.800000011920929
1661485580.8577409,319000,0.6000000238418579
1661485594.5082767,320000,0.0
1661485608.8780892,321000,-0.5
1661485637.3672233,323000,-0.7777777910232544
1661485684.977088,326000,-0.800000011920929
1661485700.799321,327000,-0.8333333134651184
1661485716.970616,328000,-0.8888888955116272
1661485772.6513093,331000,-0.3333333432674408
1661485787.2584512,332000,-0.6000000238418579
1661485817.0095196,334000,0.0
1661485913.624751,340000,-0.6666666865348816
1661485945.5916038,342000,0.0
1661485989.6335886,345000,0.1818181872367859
1661486003.1345816,346000,-0.5
1661486033.0808575,348000,-0.5
1661486048.9503453,349000,-0.6666666865348816
1661486128.3525267,354000,-0.6666666865348816
1661486144.0906785,355000,0.0
1661486198.736584,359000,-0.1111111119389534
1661486229.3032942,361000,-0.5
1661486277.3497791,364000,1.3333333730697632
1661486334.3889818,368000,0.0
1661486390.291223,372000,-0.8333333134651184
1661486420.9209893,374000,-0.3333333432674408
1661486479.936379,378000,0.0
1661486493.8924432,379000,0.0
1661486507.2900083,380000,-0.5
1661486536.8171132,382000,-0.6666666865348816
1661486551.3989685,383000,0.0
1661486606.8818753,387000,-0.3333333432674408
1661486620.5860357,388000,-0.5
1661486635.5381632,389000,-0.7777777910232544
1661486679.0668426,392000,-0.3333333432674408
1661486694.2440586,393000,-0.6666666865348816
1661486709.4593606,394000,-0.3333333432674408
1661486853.32896,404000,0.0
1661486925.85449,409000,0.0
1661487025.8680089,416000,-0.6666666865348816
