Wall time,Step,Value
1655684918.9588432,6000,-1471.5433349609375
1655684973.2706914,19000,-853.3486328125
1655684998.3358366,25000,-809.3328247070312
1655685065.7766175,41000,-781.7276611328125
1655685074.0909994,43000,-901.4053344726562
1655685086.5292954,46000,-827.6197509765625
1655685095.0663395,48000,-910.7157592773438
1655685120.0332348,54000,-880.324462890625
1655685132.4722378,57000,-917.2760620117188
1655685195.7418363,72000,-831.8969116210938
1655685208.47092,75000,-843.201904296875
1655685229.369345,80000,-1241.697265625
1655685262.838233,88000,-662.8930053710938
1655685292.1621668,95000,-1372.57275390625
1655685325.8331678,103000,-1437.66650390625
1655685338.3053486,106000,-1468.1129150390625
1655685342.529764,107000,-1448.6865234375
1655685372.1861198,114000,-798.7225341796875
1655685427.4663186,127000,-533.6731567382812
1655685484.0343156,140000,-578.3353271484375
1655685530.854788,151000,-564.0796508789062
1655685552.5194888,156000,-364.8851623535156
1655685565.780485,159000,-361.6147766113281
1655685605.6979835,168000,-366.4771423339844
1655685610.1219277,169000,-367.42230224609375
1655685654.428269,179000,-364.8023681640625
1655685676.581339,184000,-367.88531494140625
1655685685.3966465,186000,-383.80462646484375
1655685689.6767411,187000,-484.6545104980469
1655685706.8167179,191000,-549.40673828125
1655685742.0974963,199000,-362.9502868652344
1655685777.9672623,207000,-362.88641357421875
1655685782.4347937,208000,-362.3677673339844
1655685804.7781558,213000,-365.65673828125
1655685853.6078956,224000,-365.2938232421875
1655685880.1965494,230000,-364.5795593261719
1655685902.4049664,235000,-364.37493896484375
1655685915.666878,238000,-364.45465087890625
1655685967.9423754,250000,-590.3717651367188
1655685994.708933,256000,-362.2930603027344
1655686016.8067513,261000,-362.6725158691406
1655686047.4076874,268000,-363.7488708496094
1655686064.7374434,272000,-363.8777770996094
1655686073.3731976,274000,-363.75506591796875
1655686156.5187576,293000,-406.7528991699219
1655686177.4272733,298000,-576.9674072265625
1655686181.5846477,299000,-568.8270263671875
1655686202.6048803,304000,-493.0364074707031
1655686224.123345,309000,-362.44390869140625
1655686232.8609147,311000,-362.572509765625
1655686267.619283,319000,-367.3714599609375
1655686271.9211578,320000,-363.01800537109375
1655686302.4107642,327000,-362.1981201171875
1655686319.740598,331000,-361.58282470703125
1655686358.6565914,340000,-363.10601806640625
1655686393.1700609,348000,-363.5228576660156
1655686462.3991113,364000,-363.7527160644531
1655686479.5946236,368000,-365.6730041503906
1655686505.8051476,374000,-365.3885498046875
1655686523.1571357,378000,-368.5183410644531
1655686531.8038557,380000,-369.5595703125
1655686714.2347717,422000,-364.71966552734375
1655686718.5588982,423000,-364.6999816894531
1655686727.2767968,425000,-364.1305236816406
1655686753.2651567,431000,-365.6776123046875
1655686792.1477373,440000,-364.7065124511719
1655686800.9179301,442000,-364.28497314453125
1655686805.2194598,443000,-362.9241943359375
1655686818.1582906,446000,-363.5436706542969
1655686844.3911262,452000,-364.5491027832031
1655686883.5843902,461000,-364.9733581542969
1655686896.4790633,464000,-365.5545654296875
1655686900.7801929,465000,-366.1614074707031
1655686944.0981114,475000,-365.83685302734375
1655687017.8726144,492000,-363.8728332519531
1655687026.442385,494000,-363.78564453125
1655687087.1796947,508000,-365.2618103027344
1655687108.9102294,513000,-365.5076904296875
1655687117.5369856,515000,-365.544677734375
1655687130.530736,518000,-364.4034118652344
1655687165.8337345,526000,-364.72576904296875
1655687192.0991106,532000,-365.69891357421875
1655687200.7480798,534000,-363.2550964355469
1655687214.197818,537000,-363.6600036621094
1655687240.2200837,543000,-364.5363464355469
1655687261.8186536,548000,-363.27655029296875
1655687305.4020922,558000,-365.4305114746094
1655687331.4238775,564000,-365.60821533203125
1655687357.5017624,570000,-365.0971374511719
1655687374.897116,574000,-364.5581970214844
1655687400.8525772,580000,-363.1469421386719
1655687409.6112535,582000,-365.5880432128906
1655687413.9014184,583000,-382.6124267578125
1655687422.5495899,585000,-365.4572448730469
1655687431.164873,587000,-375.2667541503906
1655687435.6996777,588000,-364.20819091796875
1655687457.6194372,593000,-368.8124084472656
1655687461.9318318,594000,-366.64398193359375
1655687505.3566945,603000,-363.1114501953125
1655687534.8560123,609000,-364.694580078125
1655687544.6364563,611000,-362.8261413574219
1655687570.0814855,616000,-366.12530517578125
1655687594.7801952,621000,-363.3360900878906
1655687604.428329,623000,-363.79376220703125
