Wall time,Step,Value
1655801114.3273783,4000,-1958.0205078125
1655801123.0105774,6000,-973.7796020507812
1655801127.411993,7000,-806.2276000976562
1655801136.1387253,9000,-938.3434448242188
1655801144.8536544,11000,-997.2009887695312
1655801149.1664727,12000,-831.4633178710938
1655801158.1505525,14000,-944.6990356445312
1655801162.6970923,15000,-919.3700561523438
1655801166.9087694,16000,-1017.1112060546875
1655801171.3785286,17000,-928.0543212890625
1655801175.7585042,18000,-1018.03515625
1655801179.9941952,19000,-1197.513427734375
1655801184.1954885,20000,-920.1658325195312
1655801188.753073,21000,-1016.1047973632812
1655801206.8631341,25000,-1092.853515625
1655801211.2318559,26000,-1182.1214599609375
1655801233.55307,31000,-999.4837646484375
1655801237.9323804,32000,-1091.4564208984375
1655801246.5917335,34000,-1055.5068359375
1655801251.2829714,35000,-999.9426879882812
1655801259.976455,37000,-1047.161376953125
1655801272.9279275,40000,-988.2042236328125
1655801277.2517414,41000,-1007.380126953125
1655801286.088636,43000,-1083.274658203125
1655801290.300835,44000,-1023.0241088867188
1655801294.7596073,45000,-976.6095581054688
1655801299.2396796,46000,-975.4901123046875
1655801307.8096879,48000,-1112.187255859375
1655801316.6364753,50000,-1092.210693359375
1655801321.026357,51000,-886.264892578125
1655801334.2762473,54000,-893.4089965820312
1655801338.8124816,55000,-1015.7962036132812
1655801343.5138094,56000,-958.47998046875
1655801347.728412,57000,-1024.7183837890625
1655801352.0295799,58000,-882.6951904296875
1655801365.534886,61000,-901.7510375976562
1655801370.426506,62000,-805.2491455078125
1655801378.7644567,64000,-982.0394897460938
1655801387.514166,66000,-896.8414916992188
1655801391.8160634,67000,-966.1888427734375
1655801396.1724248,68000,-923.0152587890625
1655801400.7977357,69000,-868.9013671875
1655801405.1775596,70000,-942.0545043945312
1655801413.9585788,72000,-908.3831176757812
1655801418.2837548,73000,-813.4473266601562
1655801422.6414921,74000,-989.0285034179688
1655801426.9762883,75000,-924.2989501953125
1655801436.0146432,77000,-954.3496704101562
1655801444.7958462,79000,-830.1761474609375
1655801449.3092427,80000,-879.5370483398438
1655801458.1843972,82000,-1076.7506103515625
1655801471.6463652,85000,-996.7666015625
1655801475.993035,86000,-954.6461791992188
1655801480.6058688,87000,-876.0916137695312
1655801484.9418118,88000,-915.5261840820312
1655801489.4992435,89000,-918.675537109375
1655801494.0564938,90000,-964.6190185546875
1655801515.6339052,95000,-982.9571533203125
1655801537.7996283,100000,-896.974609375
1655801551.3963203,103000,-864.2546997070312
1655801559.9666104,105000,-938.7084350585938
1655801564.301912,106000,-992.2924194335938
1655801568.7485015,107000,-896.166748046875
1655801599.6858525,114000,-1087.1575927734375
1655801613.1688025,117000,-936.2919311523438
1655801621.9741457,119000,-926.5258178710938
1655801626.175295,120000,-807.5057373046875
1655801630.6771832,121000,-1122.0322265625
1655801648.3299258,125000,-973.7077026367188
1655801652.7320426,126000,-886.0635375976562
1655801657.0008829,127000,-869.4066162109375
1655801670.5745778,130000,-896.1294555664062
1655801674.909296,131000,-920.5958251953125
1655801687.8699374,134000,-967.8141479492188
1655801706.112674,138000,-901.0667724609375
1655801715.2102616,140000,-976.7640991210938
1655801723.8590279,142000,-1922.706298828125
1655801728.0934446,143000,-1250.178955078125
1655801732.8959243,144000,-1093.68505859375
1655801737.1084845,145000,-1400.874267578125
1655801741.4126384,146000,-1243.378173828125
1655801745.659435,147000,-1462.3704833984375
1655801754.1731758,149000,-5113.01806640625
1655801763.1442306,151000,-2628.158447265625
1655801776.5280395,154000,-386.02777099609375
1655801780.8078315,155000,-951.7772216796875
1655801785.277149,156000,-2296.049072265625
1655801794.2147248,158000,-2753.34375
1655801798.4395413,159000,-1393.4564208984375
1655801802.6073778,160000,-1708.6470947265625
1655801811.14448,162000,-2531.0888671875
1655801815.4927723,163000,-2098.275146484375
1655801824.2625484,165000,-1825.193115234375
1655801828.68846,166000,-1419.93896484375
1655801837.7696633,168000,-1474.988525390625
1655801841.9497535,169000,-1486.824462890625
1655801846.2962193,170000,-1528.81494140625
1655801855.9111376,172000,-1601.19384765625
1655801873.364722,176000,-1653.73291015625
1655801877.6890602,177000,-1502.23193359375
