Wall time,Step,Value
1657862728.8253462,19000,-5236.09375
1657862770.401281,25000,-3743.32763671875
1657862881.2184887,41000,-2203.718017578125
1657862895.155471,43000,-1641.796875
1657862916.1929424,46000,-2304.769775390625
1657862992.2672737,57000,-1617.5179443359375
1657863096.4609368,72000,-1553.8994140625
1657863117.1876223,75000,-1972.5579833984375
1657863256.7527852,95000,-1405.591796875
1657863339.9836798,107000,-1104.0013427734375
1657863479.9174,127000,-1033.6365966796875
1657863687.2986631,156000,-1744.336669921875
1657863708.6850998,159000,-1171.9432373046875
1657863772.2053397,168000,-1142.9639892578125
1657863899.8315089,184000,-1286.06201171875
1657863914.649428,186000,-2933.473876953125
1657864241.770461,230000,-1893.166015625
1657864275.8362348,235000,-2119.945556640625
1657864376.8641608,250000,-1518.97998046875
1657864427.375353,256000,-1315.1212158203125
1657864464.223479,261000,-1811.270751953125
1657864511.8394392,268000,-1285.2452392578125
1657864567.6179662,274000,-1380.0836181640625
1657864868.5939393,309000,-2547.960693359375
1657864882.9070785,311000,-1363.697509765625
1657864966.2484906,319000,-1277.7445068359375
1657865112.1721156,340000,-2055.361328125
1657865167.5077128,348000,-1053.5806884765625
1657865317.0986316,368000,-1314.5701904296875
1657865711.4459765,422000,-1453.76513671875
1657865719.2379484,423000,-4688.4892578125
1657865863.0069642,440000,-1697.43310546875
1657865884.3035288,443000,-1164.347412109375
1657865905.9443624,446000,-1302.4727783203125
1657866013.954904,461000,-1321.7939453125
1657866034.4923038,464000,-2063.341064453125
1657866041.4270742,465000,-1071.81640625
1657866110.4337983,475000,-1285.01123046875
1657866244.710646,494000,-2852.913330078125
1657866401.889922,515000,-920.9203491210938
1657866522.77191,532000,-1624.0177001953125
1657866556.6038585,537000,-1092.435791015625
1657866740.607921,564000,-1687.24853515625
1657866830.8096163,574000,-1986.23193359375
1657866879.221305,580000,-1504.159423828125
1657866931.423159,587000,-1022.0203857421875
1657866938.6591506,588000,-1113.1290283203125
1657867278.1797442,621000,-950.28662109375
1657867305.757125,623000,-1471.75732421875
1657867396.2014835,635000,-1655.9620361328125
1657867459.2485197,642000,-1133.1383056640625
1657867466.2666183,643000,-1327.50390625
1657867486.2293043,645000,-1113.8541259765625
1657867520.392523,648000,-1302.4906005859375
1657867534.5413976,650000,-2375.48779296875
1657867621.6616788,662000,-1397.4625244140625
1657867693.8766317,672000,-1074.264404296875
1657868045.6008792,715000,-1287.0023193359375
1657868110.5837104,723000,-1805.1961669921875
1657868172.7431664,731000,-1220.2506103515625
1657868236.36049,740000,-1576.8009033203125
1657868342.4630163,753000,-2095.85693359375
1657868372.6790059,757000,-1455.5364990234375
1657868437.9686427,766000,-1532.7138671875
1657868466.4275992,770000,-1165.4893798828125
1657868482.4243498,772000,-1049.6483154296875
1657868502.419724,774000,-1494.8160400390625
1657868563.194433,781000,-876.1233520507812
1657868605.04891,786000,-1163.45849609375
1657868619.044052,788000,-863.0925903320312
1657868672.1695068,793000,-900.3956909179688
1657868696.6952436,795000,-897.2998046875
1657868731.6342378,799000,-1110.99072265625
1657868763.2231107,803000,-973.4154663085938
1657868823.3387802,809000,-1397.3822021484375
1657868830.4059138,810000,-953.1798095703125
1657869008.751159,833000,-813.1631469726562
1657869041.837454,837000,-815.3724975585938
1657869299.223879,870000,-1156.0948486328125
1657869350.836757,877000,-1038.66357421875
1657869421.5063705,883000,-929.3517456054688
1657869559.863645,897000,-1027.909423828125
1657869606.0177073,901000,-997.8035278320312
1657869664.2319322,908000,-1996.0294189453125
1657869679.7378414,910000,-1019.1223754882812
1657869737.8165205,918000,-1002.4382934570312
1657869854.6722848,932000,-1069.8966064453125
1657869861.0738995,933000,-1168.6058349609375
1657869924.8710916,943000,-1300.4742431640625
1657869944.0641642,946000,-989.023681640625
1657870012.486161,955000,-1213.6053466796875
1657870084.3061056,963000,-1216.9302978515625
1657870170.052193,972000,-1135.3421630859375
1657870181.4109888,973000,-1205.73095703125
1657870227.0355985,979000,-1674.892333984375
1657870234.4504013,980000,-1295.4334716796875
1657870275.8693037,985000,-1373.54736328125
1657870408.1452942,1003000,-1832.0411376953125
1657870428.0770779,1006000,-938.7672119140625
1657870494.8089414,1015000,-1239.352783203125
1657870739.570921,1045000,-1051.9051513671875
1657870851.6554668,1058000,-1372.333984375
1657870896.799147,1064000,-1291.9459228515625
1657870919.0731254,1067000,-1003.6835327148438
1657870933.9344025,1069000,-952.3897705078125
1657870965.3449054,1073000,-1740.8851318359375
1657871010.0467236,1079000,-1029.6513671875
1657871047.2916813,1084000,-1952.3272705078125
1657871119.840216,1094000,-1260.056640625
1657871179.0140147,1100000,-1194.9171142578125
1657871222.6011019,1105000,-1445.0882568359375
1657871308.274776,1115000,-1083.6153564453125
1657871647.7541323,1157000,-1133.49755859375
1657871673.5267289,1161000,-1137.68701171875
1657871679.7060924,1162000,-1410.4256591796875
1657871686.1078687,1163000,-2130.809326171875
1657871828.8180966,1181000,-1144.9111328125
1657871922.447572,1194000,-1772.271484375
1657872013.3020523,1207000,-1442.21435546875
1657872213.0551293,1233000,-1579.300048828125
1657872297.6094582,1245000,-1315.9083251953125
1657872373.4729292,1256000,-1167.3917236328125
1657872394.6772134,1259000,-1239.515380859375
1657872415.9952815,1262000,-1031.64501953125
